wavelength,flux
5047.53225,1.496688E-14
5050.486335,1.502134E-14
5053.440421,1.499183E-14
5056.394506,1.49942e-14
5059.348592,1.503078E-14
5062.302677,1.498697E-14
5065.256763,1.494713E-14
5068.210848,1.504725E-14
5071.164934,1.514025E-14
5074.119019,1.508342E-14
5077.073105,1.507913E-14
5080.02719,1.520574E-14
5082.981276,1.530652E-14
5085.935361,1.530334E-14
5088.889447,1.527634E-14
5091.843532,1.537362E-14
5094.797618,1.548886E-14
5097.751703,1.54126e-14
5100.705789,1.535837E-14
5103.659874,1.546759E-14
5106.61396,1.555526E-14
5109.568045,1.560252E-14
5112.522131,1.559365E-14
5115.476216,1.551784E-14
5118.430302,1.554819E-14
5121.384387,1.561635E-14
5124.338473,1.555327E-14
5127.292558,1.548871E-14
5130.246644,1.546682E-14
5133.200729,1.543304E-14
5136.154815,1.548403E-14
5139.1089,1.558031E-14
5142.062986,1.562074E-14
5145.017071,1.557979E-14
5147.971157,1.549222E-14
5150.925242,1.551058E-14
5153.879328,1.551237E-14
5156.833414,1.532157E-14
5159.787499,1.520784E-14
5162.741585,1.524301E-14
5165.69567,1.533503E-14
5168.649756,1.534989E-14
5171.603841,1.528358E-14
5174.557927,1.521388E-14
5177.512012,1.518773E-14
5180.466098,1.519195E-14
5183.420183,1.513047E-14
5186.374269,1.509082E-14
5189.328354,1.514386E-14
5192.28244,1.523481E-14
5195.236525,1.525551E-14
5198.190611,1.520745E-14
5201.144696,1.51654e-14
5204.098782,1.515822E-14
5207.052867,1.510095E-14
5210.006953,1.500881E-14
5212.961038,1.503451E-14
5215.915124,1.500644E-14
5218.869209,1.489851E-14
5221.823295,1.49148e-14
5224.77738,1.48831e-14
5227.731466,1.482092E-14
5230.685551,1.48687e-14
5233.639637,1.483893E-14
5236.593722,1.478957E-14
5239.547808,1.469391E-14
5242.501893,1.462067E-14
5245.455979,1.454893E-14
5248.410064,1.441032E-14
5251.36415,1.436643E-14
5254.318235,1.439314E-14
5257.272321,1.437593E-14
5260.226406,1.442379E-14
5263.180492,1.442489E-14
5266.134577,1.424869E-14
5269.088663,1.413632E-14
5272.042748,1.412842E-14
5274.996834,1.405686E-14
5277.950919,1.398058E-14
5280.905005,1.399172E-14
5283.85909,1.393158E-14
5286.813176,1.383612E-14
5289.767261,1.377909E-14
5292.721347,1.368018E-14
5295.675432,1.361674E-14
5298.629518,1.365451E-14
5301.583603,1.368412E-14
5304.537689,1.360584E-14
5307.491775,1.350753E-14
5310.44586,1.349972E-14
5313.399946,1.349106E-14
5316.354031,1.346655E-14
5319.308117,1.350528E-14
5322.262202,1.349181E-14
5325.216288,1.338722E-14
5328.170373,1.333029E-14
5331.124459,1.326604E-14
5334.078544,1.32271e-14
5337.03263,1.325287E-14
5339.986715,1.319882E-14
5342.940801,1.315886E-14
5345.894886,1.317072E-14
5348.848972,1.306903E-14
5351.803057,1.298802E-14
5354.757143,1.303355E-14
5357.711228,1.305712E-14
5360.665314,1.297216E-14
5363.619399,1.289011E-14
5366.573485,1.290507E-14
5369.52757,1.291739E-14
5372.481656,1.287783E-14
5375.435741,1.278987E-14
5378.389827,1.268415E-14
5381.343912,1.266555E-14
5384.297998,1.267379E-14
